id,network_transaction_id,region
9060573b-2d75-4134-912f-26d261f658bd,584080029364622,hk
61e5e748-6824-45af-b38f-774ddfb006b5,304080529639516,hk
d9bc3c8b-dd90-4407-90a8-b1b5ebc2b06a,584080018316035,hk
a3d19cc7-2605-4adf-a0b1-72a25f83026a,464080269811889,hk
e85e261e-5402-48e5-83da-2f2fb1a38574,384080004777550,hk
1dc0fd13-7b0b-4954-8f64-06dee1af7785,384080530632001,hk
b3be33eb-195f-42e1-a198-f77251c4c22a,304079821206337,hk
d65e0a7f-ccbd-476a-8b48-1e15109ead82,464079802947888,hk
c9fc8315-5a9b-4349-9ee0-b5cc944981ed,584080092149860,hk
5c9311e9-9b01-4333-bbfa-dfc97c31b531,464080554137250,hk
2898fcb6-fd70-4569-b412-8320929d3745,384080188050943,hk
aed8ee37-9e6f-4acd-bc3f-7c511c1c48b6,584079862690840,hk
d9b0c253-052a-461f-887c-40640acf1418,464079815139702,hk
c079d487-ec98-4ba8-9261-114479bd9d1c,304080031164566,hk
f3533615-bd44-4310-81c0-3ba3e0d7e8f2,464080035515147,hk
b579a47e-f061-4975-b5cb-042d803bddba,464080156374825,hk
978ea7a3-360f-4862-b994-429d7315673c,304080023271717,hk
e7480120-6ad2-40a2-b5ab-8e8f0700dc71,464080024419891,hk
24d4ed8c-6279-4796-a702-081db853cbb3,584080127134867,hk
b164045e-bd6e-443a-9fe2-37e8598e1aee,464080487630439,hk
ff090b50-f597-436d-943c-65ffaf20006a,304080275027707,hk
f48e8fe7-764c-477f-b529-398bd3feb862,384079856605415,hk
c5b6a991-fe24-4a53-95c6-77df9f35e986,464080168558755,hk
1eea9add-abc8-4a55-aa54-dbc7b655c7c7,584080150010232,hk
563c0fda-a286-47d3-84f4-e32e646639ad,464080572855803,hk
f0e91ae4-a7e7-4d04-b4fa-a4dc4fcc5ea8,464080565639837,hk
00b0eb9b-0057-475a-b8ba-4b7c3ca85125,464080551884157,hk
c23b2969-98eb-46c9-a6a2-4d0e264a2377,304080506843905,hk
070bc5a7-2eb8-4950-a104-00ad9e185a65,464080571638808,hk
05d0f288-8d6b-48b1-b95d-7985a28ea930,384080179760209,hk
54dcbda5-1d3c-4753-9d55-0b800c8d86a3,384080056639418,hk
9d1d49bb-9a64-426d-8d8c-b033866bff01,304080160521000,hk
4e00dea2-fa60-4523-8d4e-1dcd1962d914,584080470844963,hk
12a49fec-3a83-45cd-8507-f9588397fe59,304079850523408,hk
bed15d79-2993-455f-9d08-23be0cc8a933,384080064395707,hk
52ad0c8b-5d8b-4b28-977b-83fe74dab1a3,584080025073275,hk
3c901e1a-b064-437c-a40e-bf48ed9cf52b,464080160373796,hk
db4f4f25-52e1-4fa8-a961-c89b70922202,464079774110768,hk
e66e36de-5d4b-4d60-91ee-f6469b2895ac,384080044222067,hk
f12b4639-b91c-4840-b880-0cbbc4a92388,464080274861578,hk
80f35a96-555d-4f73-8972-8301570ab31e,464080017203584,hk
eb2c0797-4be5-42d4-93d1-00a72f9cddff,304079839541531,hk
1f3043af-fa74-4121-b518-3fc1a1bb7d79,384079810618201,hk
a133042f-2903-49f7-904e-35bd9ed5e473,464080524136565,hk
c8f04af1-8a68-4e51-a23c-f594d37857cc,584080143925762,hk
691e68cf-ad56-4e2a-a944-68f0679780e0,464080114769307,hk
aacedab1-38c4-4ec9-a72f-55792a97bbd1,584079845713338,hk
b57fbaee-9c5a-4442-b8ab-3f8dd6808499,464080059872481,hk
8a1ab90f-2277-4b0a-9c64-28e755ced16b,304080113482885,hk
739afa65-1f67-4a5d-900d-e474d67b62b3,464080535637435,hk
94ee8182-8df9-4070-92ec-78968df4db13,384080414766637,hk
9ba6b752-63b9-40f2-b727-23063aa49d5f,304080500836773,hk
033d3d9f-f501-4c63-8de3-5213e6f8fa27,584080047693825,hk
e9b63d47-10f9-446a-8aad-86d3a12c7f0a,384080091587282,hk
aeb4bbf5-1ee6-4030-908b-469c363d1db5,464080017123068,hk
c545e819-7eed-4189-b023-e5b220dc5384,304080048677907,hk
cbc6882e-d438-48a3-8481-153cf49ef5a2,384080194149991,hk
47ef6d74-2ea3-4566-ae13-5ddf47dca691,384080084326612,hk
7996edc4-bc16-47b9-81b4-6ab02d106dc8,304080458855806,hk
07475ae5-cd6b-43da-9cfe-6c56f2398be5,584080559630677,hk
5d475930-7c92-41bb-88cf-488f32f801cc,584080036586550,hk
8a2cdcad-a113-4ace-8006-ca0ed7e79813,464080492406465,hk
8475cbe4-24d6-4860-8194-06fa1d06dac3,464080566595002,hk
c5f3aee9-f87e-43a1-b640-e99fca19259f,584080518592864,hk
584fdcad-c601-410b-8333-233dc979e6df,384080067178059,hk
32a86a49-ad68-4255-b90c-e7fae8c5ce44,304079798428320,hk
e2a6a424-26a2-408b-9072-c030b9cd5eda,584080211198992,hk
77a0f032-c1b6-425a-8ce7-262ad728a745,304080499641259,hk
6492c112-7ee6-4f5b-aa0e-657360c4bb84,384080085973680,hk
409726d0-42bb-4949-af2b-917e5c9bdbbb,464079838334754,hk
7fb814d9-720d-41fb-9b77-c16d2440eae0,384080269814142,hk
045df693-40cb-47e0-9d86-76b21fa28d25,384080097674009,hk
337c87e6-c7bf-4fc4-b0a6-7a092506f083,384080140848221,hk
2f80f8a2-ae5d-47b8-a597-ff38f2dd9322,304080121042223,hk
